number,value,params_bb_dev,params_bb_window,params_ema_period,user_attrs_cagr,user_attrs_final_nav,user_attrs_max_dd,user_attrs_n_trades,user_attrs_sharpe,user_attrs_total_ret,user_attrs_vol,user_attrs_win_rate
100,1.191491210919389,2.5,95,900,0.2817157344346315,204.32986945201054,-0.23176917601580282,87.0,1.191491210919389,1.0432986945201055,0.23064522032266888,32.18390804597701
101,1.2503740212807113,2.75,70,1000,0.27601953947411006,201.7264075685899,-0.17944518149420358,87.0,1.2503740212807113,1.0172640756858993,0.2130960333039504,41.37931034482759
102,1.4667989988591232,2.75,75,1050,0.33702705986681014,230.75815134887333,-0.16556932140017033,82.0,1.4667989988591232,1.3075815134887332,0.21355946717762125,43.90243902439025
103,1.7044914047618864,3.0,85,950,0.38111468932469617,253.34993298767978,-0.156490735917624,59.0,1.7044914047618864,1.5334993298767978,0.2013124322385846,42.3728813559322
104,1.7044914047618864,3.0,85,950,0.38111468932469617,253.34993298767978,-0.156490735917624,59.0,1.7044914047618864,1.5334993298767978,0.2013124322385846,42.3728813559322
105,1.6781352145977084,2.75,90,950,0.41436422662473227,271.3096176764377,-0.18253811844342274,74.0,1.6781352145977084,1.713096176764377,0.22116207367969373,40.54054054054054
106,1.6781352145977084,2.75,90,950,0.41436422662473227,271.3096176764377,-0.18253811844342274,74.0,1.6781352145977084,1.713096176764377,0.22116207367969373,40.54054054054054
107,1.004629667245143,2.25,100,950,0.23345505918052223,182.95473457424205,-0.23103783029939437,98.0,1.004629667245143,0.8295473457424205,0.23677266116517437,29.591836734693878
108,1.1058082899299684,2.5,90,800,0.25566690966070804,192.60124436718488,-0.18580429894192568,92.0,1.1058082899299684,0.9260124436718487,0.2297678100796127,33.69565217391305
109,1.519077286938523,2.75,75,950,0.3521667690366983,238.36117402546526,-0.16735503548714661,79.0,1.519077286938523,1.3836117402546524,0.21363286786387153,45.56962025316456
110,1.513315955969222,2.75,90,1150,0.35451701231022925,239.55589922470892,-0.21744466928044062,70.0,1.513315955969222,1.3955589922470892,0.21592679854697822,40.0
111,1.519077286938523,2.75,75,950,0.3521667690366983,238.36117402546526,-0.16735503548714661,79.0,1.519077286938523,1.3836117402546524,0.21363286786387153,45.56962025316456
112,1.7380034237676818,2.75,85,1000,0.42146386231292765,275.24899215323467,-0.13042065943924314,74.0,1.7380034237676818,1.7524899215323466,0.21573296780508677,41.891891891891895
113,1.147139821296015,2.75,65,1000,0.24913623147441233,189.73139001135652,-0.21943644103232726,95.0,1.147139821296015,0.8973139001135653,0.2138491933770827,38.94736842105263
114,1.1937525533656457,2.5,95,1100,0.28148961931610916,204.22610735606605,-0.2221844886087176,81.0,1.1937525533656457,1.0422610735606606,0.22992113848520915,34.5679012345679
115,1.2503740212807113,2.75,70,1000,0.27601953947411006,201.7264075685899,-0.17944518149420358,87.0,1.2503740212807113,1.0172640756858993,0.2130960333039504,41.37931034482759
116,1.1573902374756255,2.5,85,800,0.2674715007886763,197.86027861859685,-0.1828728774123974,96.0,1.1573902374756255,0.9786027861859685,0.22706761644735768,34.375
117,1.516531265095296,2.75,95,950,0.36700415884750437,245.9692049702499,-0.2350589157268987,73.0,1.516531265095296,1.459692049702499,0.22246826088757665,36.986301369863014
118,1.2063490632994462,3.0,120,900,0.26886376407171264,198.48664849524658,-0.18291361563899478,55.0,1.2063490632994462,0.9848664849524658,0.21690075644375428,38.18181818181819
119,1.5068871686397438,3.0,90,750,0.3332103794755148,228.8667734710564,-0.19779714334492246,59.0,1.5068871686397438,1.2886677347105642,0.2047610501810243,38.983050847457626
120,1.4933554460110037,2.75,80,1000,0.3520174559888556,238.28540373752622,-0.14672762330110753,80.0,1.4933554460110037,1.382854037375262,0.21784772168786,41.25
121,1.753356057735124,3.0,75,900,0.3992452241182789,263.0435637357449,-0.14473073904406966,66.0,1.753356057735124,1.630435637357449,0.20338386625971502,45.45454545454545
122,1.6731738263072455,3.0,85,900,0.3725731683645721,248.86515364002017,-0.16017583958000478,60.0,1.6731738263072455,1.4886515364002015,0.20138062612661595,41.66666666666667
123,1.7741533303955268,3.0,75,950,0.40506713867197397,266.2068395926542,-0.14205603632709635,66.0,1.7741533303955268,1.6620683959265419,0.20333464393689032,45.45454545454545
124,1.416169818667607,3.25,75,1050,0.29125893360928123,208.74058521149357,-0.14273211265180194,59.0,1.416169818667607,1.0874058521149355,0.1937420579881939,40.67796610169492
125,1.1867335218472925,3.0,60,850,0.24090745188116403,186.15524760651715,-0.1779782178370655,80.0,1.1867335218472925,0.8615524760651716,0.19847062966028678,35.0
126,1.4947623794343412,3.0,70,800,0.3230265359879312,223.8696985911864,-0.16724999928165146,72.0,1.4947623794343412,1.2386969859118637,0.20074455138537933,41.66666666666667
127,1.48479776021904,3.25,75,950,0.3088202875533492,217.01864061022994,-0.1377007520757017,57.0,1.48479776021904,1.1701864061022995,0.19390698719913854,42.10526315789473
128,1.324782228512038,3.0,65,1050,0.27824885739000305,202.74272888908138,-0.2057960427658405,80.0,1.324782228512038,1.0274272888908138,0.20046628409600772,36.25
129,1.6534064232041468,3.0,80,850,0.36267635685693134,243.7339514390985,-0.15288573993437946,62.0,1.6534064232041468,1.437339514390985,0.19914303250936757,41.935483870967744
130,1.525306237614224,3.0,70,1100,0.33235022592583063,228.44192139031213,-0.16724999928165066,70.0,1.525306237614224,1.2844192139031212,0.20141433443431683,44.285714285714285
131,1.4886753109351598,2.75,80,900,0.35096666972821455,237.75261707065465,-0.16214656198579266,79.0,1.4886753109351598,1.3775261707065467,0.21803802270400116,41.77215189873418
132,1.7312635609851226,2.75,85,950,0.4192543813056979,274.0190440792643,-0.13042065943924197,74.0,1.7312635609851226,1.740190440792643,0.21566587981043384,41.891891891891895
133,1.7071765149187357,3.0,85,1000,0.3821044866439156,253.87301607043528,-0.15649073591762458,59.0,1.7071765149187357,1.5387301607043526,0.20142925175215487,42.3728813559322
134,1.7071765149187357,3.0,85,1000,0.3821044866439156,253.87301607043528,-0.15649073591762458,59.0,1.7071765149187357,1.5387301607043526,0.20142925175215487,42.3728813559322
135,1.7071765149187357,3.0,85,1000,0.3821044866439156,253.87301607043528,-0.15649073591762458,59.0,1.7071765149187357,1.5387301607043526,0.20142925175215487,42.3728813559322
136,0.8811349089949396,3.25,150,1000,0.1652871496226722,155.33173047217102,-0.2246689812686759,38.0,0.8811349089949396,0.5533173047217101,0.1952579312278162,42.10526315789473
137,1.70657196485868,3.0,80,1000,0.3813118696591957,253.45408169295948,-0.13543017832688994,63.0,1.70657196485868,1.5345408169295949,0.2011295396419138,42.857142857142854
138,1.70657196485868,3.0,80,1000,0.3813118696591957,253.45408169295948,-0.13543017832688994,63.0,1.70657196485868,1.5345408169295949,0.2011295396419138,42.857142857142854
139,1.753356057735124,3.0,75,900,0.3992452241182789,263.0435637357449,-0.14473073904406966,66.0,1.753356057735124,1.630435637357449,0.20338386625971502,45.45454545454545
140,1.44422247200399,3.25,65,850,0.28769140126156767,207.08453074887686,-0.1754919810253727,62.0,1.44422247200399,1.0708453074887685,0.18721191895368544,38.70967741935484
141,1.753356057735124,3.0,75,900,0.3992452241182789,263.0435637357449,-0.14473073904406966,66.0,1.753356057735124,1.630435637357449,0.20338386625971502,45.45454545454545
142,1.595715472482357,3.0,70,900,0.3526046294741514,238.58346102189,-0.16724999928165069,71.0,1.595715472482357,1.3858346102188999,0.20206516173537284,43.66197183098591
143,1.753356057735124,3.0,75,900,0.3992452241182789,263.0435637357449,-0.14473073904406966,66.0,1.753356057735124,1.630435637357449,0.20338386625971502,45.45454545454545
144,1.4151716088407362,2.75,75,800,0.32050511857756114,222.643573948271,-0.17776008349400627,79.0,1.4151716088407362,1.2264357394827101,0.21239050684101074,44.303797468354425
145,1.753356057735124,3.0,75,900,0.3992452241182789,263.0435637357449,-0.14473073904406966,66.0,1.753356057735124,1.630435637357449,0.20338386625971502,45.45454545454545
146,1.595715472482357,3.0,70,900,0.3526046294741514,238.58346102189,-0.16724999928165069,71.0,1.595715472482357,1.3858346102188999,0.20206516173537284,43.66197183098591
147,1.0349127608979034,2.75,60,850,0.21725677766617824,176.12255124898914,-0.18933308737531643,100.0,1.0349127608979034,0.7612255124898915,0.21159810676544183,34.0
148,1.6657031190231457,3.0,75,800,0.37205707306285274,248.5958476336526,-0.14609135948146695,67.0,1.6657031190231457,1.485958476336526,0.20215916645288834,43.28358208955223
149,1.51858391747658,3.25,65,900,0.3097900753445286,217.48191361710943,-0.17549198102537275,62.0,1.51858391747658,1.1748191361710942,0.18953589640498117,40.32258064516129
